Node1,Node2,AmntTrn,CntTrn,Alert
133596,6093,150,1,0
2524,50374,120,1,0
133598,143304,6696,3,0
133598,49780,331,3,0
2544,89863,2367,3,0
2553,89863,1684,7,0
2553,128392,1099,3,0
2553,51775,363,3,0
2553,53450,2020,3,0
2553,135928,554,5,0
2553,88914,860,2,0
2553,88064,440,1,0
2553,85763,440,1,0
2553,90821,540,3,0
2553,66873,1320,3,0
2561,81248,2658,3,0
133652,30962,74731,7,0
133652,128614,1897,1,0
133652,6046,3000,1,0
133652,4276,1675,2,0
133652,64926,433,1,0
133652,115503,163000,5,0
133652,167328,615,1,0
133652,49562,2362,2,0
133652,65789,5988,3,0
133676,78949,1530,1,0
133680,4573,2976,1,0
2625,87892,12000,4,0
133702,17746,4352,3,0
133710,65775,103,1,0
133725,35346,272,1,0
133725,66655,272,1,0
2654,66720,202,1,0
2654,162985,37510,6,0
133733,189924,1362,3,0
2677,162180,5427,4,0
133751,123051,43,1,0
133756,107699,4406,2,0
133756,177936,2000,1,0
133756,47745,10060,4,0
133756,64992,12948,2,0
133756,5456,4097,1,0
133756,697,4084,3,0
133756,182945,7739,2,0
2686,57420,48,1,0
2691,163014,1410,5,0
2709,85763,351,3,0
133792,65775,150,3,0
133792,33011,377,3,0
2721,55367,142786,4,0
133799,143304,8422,4,0
133799,49780,289,2,0
2745,85742,179,1,0
2752,35741,830,1,0
133837,168251,1100,1,0
133837,52279,1000,1,0
2770,53371,3400,3,0
133863,89863,500,1,0
133864,81248,289,2,0
133865,55367,420653,4,0
2794,109786,300000,2,0
2796,108105,240,1,0
2798,50258,40,1,0
133884,78111,804,1,0
133888,66873,4680,2,0
133891,53450,338,1,0
133892,90821,247,1,0
133934,84300,11,1,0
133946,81149,2910,3,0
133968,89863,367,1,0
2898,90579,16800,3,0
133988,119681,7049,1,0
2929,89863,131,1,0
2932,119681,1523,2,0
2951,59857,5826,12,0
2965,63443,7266,1,0
3002,51775,300,3,0
134075,90762,69,1,0
134086,51787,1587,1,0
134095,85559,488,1,0
134132,89863,23,1,0
134139,49780,1426,1,0
134139,141738,6290,2,0
134139,118307,346,1,0
134141,18360,3463,1,0
3074,116616,2229,14,0
134154,76643,900,1,0
134161,4994,218,3,0
134188,3277,60000,1,0
3136,132106,8120,3,0
134223,47947,4620,3,0
134223,50680,159,1,0
134240,157617,20465,3,0
134240,157043,1368,1,0
134240,42847,4559,3,0
3186,92805,13080,2,0
3198,118909,12080,1,0
134271,65820,1500,1,0
134271,78136,25845,3,0
134271,53204,5607,1,0
3208,55001,528,2,0
3209,60055,16050,1,0
3212,85795,496,1,0
3223,26438,38,2,0
3232,110050,110,1,0
134307,9610,537193,4,0
3245,85416,1082,2,0
3252,162180,3000,6,0
134339,126438,1650,1,0
134359,118490,30963,3,0
134359,50904,62347,5,0
134359,42759,3570,1,0
134359,65789,1456,3,0
134359,10652,1000,1,0
134359,47947,14360,3,0
3291,83049,2205,4,0
3314,52279,938,2,0
3314,89009,862,4,0
3314,107109,1684,9,0
3314,47723,1172,4,0
3314,128392,1079,2,0
134395,51775,55,2,0
3324,93587,3079,3,0
3324,81261,2558,4,0
134397,5463,668,1,0
134399,85829,1306,3,0
134406,6347,3000,2,0
134415,17029,285,1,0
134415,65592,200,1,0
3344,80118,64998,1,0
3354,51856,5026,2,0
134428,8882,956,1,0
134430,81650,2190,1,0
134435,16606,546,1,0
134435,176963,46,2,0
3369,108583,2570,1,0
134453,107088,8500,1,0
3403,163249,55,1,0
134504,143304,8477,3,0
134504,49780,79,2,0
134506,191597,5439,6,0
134506,60369,575,1,0
134506,10314,945,1,0
3452,119064,5058,1,0
134525,42738,503,4,0
3469,124533,180,3,0
3473,59857,250,1,0
134548,55329,17000,2,0
3485,60055,315,1,0
134597,51775,900,2,0
134623,24401,3999,1,0
134624,89209,907,5,0
3552,59909,700,2,0
3563,64136,573,1,0
134636,167162,4440,1,0
3574,89863,713,1,0
134658,91926,900,1,0
3590,105281,191,3,0
134681,47723,80,1,0
3618,59857,78,1,0
134702,76075,347,1,0
134718,78839,5959,1,0
3650,59857,919,2,0
134732,52279,352,1,0
3665,53450,908,3,0
3673,162187,22209,3,0
3673,53450,4538,3,0
3673,85795,12721,6,0
3673,26388,260207,2,0
3673,111626,9106,3,0
3673,89863,6325,3,0
3673,109795,2355,3,0
3673,104799,1790,1,0
134747,100917,1796,3,0
134750,104799,100,1,0
134750,89863,900,6,0
134752,85784,3539,3,0
3681,85795,1404,1,0
3689,104561,1000,1,0
3697,63680,5087,3,0
134773,119681,4000,2,0
134779,100147,640,2,0
134780,63814,600,3,0
3711,26149,360,1,0
3712,19878,25,1,0
134793,128392,198,3,0
3730,59857,6208,1,0
134813,109855,24343,1,0
3744,89863,1500,3,0
134815,116567,7263,3,0
3751,111626,1317,3,0
134842,81235,242,1,0
3773,89863,121,1,0
134853,59857,2084,1,0
3790,107884,24202,1,0
134863,123085,483,1,0
134886,167447,3100,1,0
3815,47723,1139,6,0
3815,107109,978,3,0
3815,66873,633,3,0
3815,89009,519,2,0
134888,105281,119,1,0
134905,85829,844,2,0
134908,37609,1244,1,0
134924,81355,50,1,0
134944,89863,19,1,0
3874,19241,3000,1,0
134950,169581,3054,1,0
3886,93641,600,3,0
3888,90776,179,1,0
3894,111626,480,2,0
3904,26149,657,1,0
3922,89863,131,1,0
3933,81248,392,2,0
135023,135591,2404,1,0
135029,104799,94,1,0
3965,116634,776,1,0
3965,89863,808,2,0
3971,26155,2400,1,0
3973,85742,487,1,0
135072,108546,1300,1,0
4012,53450,232731,12,0
4012,111626,2570,3,0
4015,85846,500,2,0
4015,119681,200,1,0
135094,108105,2283,4,0
4036,85795,1574,2,0
4047,81261,119,1,0
4047,85829,225,1,0
135120,85763,345,3,0
135122,90083,237,1,0
135124,107109,76,1,0
135125,124226,10388,1,0
4058,66873,2901,3,0
4058,51840,2202,2,0
4058,118990,10294,6,0
4058,85758,165223,14,0
4058,93641,2866,3,0
4058,169301,4600,1,0
4062,90309,1801,1,0
4062,88064,3446,4,0
135141,135869,58024,1,0
4069,163010,3050,1,0
135144,81235,5052,3,0
135147,135928,106646,1,0
135158,89863,68,1,0
4085,55216,534,1,0
135163,59873,1785,3,0
4094,118869,150,1,0
4135,89863,405,3,0
4148,24695,142,1,0
135235,108105,1700,1,0
4170,85742,2311,3,0
4172,47723,3600,10,0
4172,89009,800,2,0
4184,66873,1350,3,0
4193,104570,3835,3,0
4199,85795,50,1,0
4235,89863,1835,3,0
4235,168515,1180,1,0
4245,78111,1008,3,0
4245,89863,835,3,0
135320,53450,196,2,0
4250,167447,977,2,0
135326,108467,800,2,0
4258,81490,254,1,0
4279,100136,3213,1,0
4279,81248,2700,3,0
4299,77890,673,1,0
4328,117394,300,1,0
4332,59857,56,1,0
135406,168143,2307,1,0
4340,107109,1,1,0
135419,24783,1347,3,0
4359,51775,250,1,0
4365,47723,800,2,0
135453,169462,700,1,0
135456,85846,9675,3,0
4401,78111,392,1,0
4405,53882,450,1,0
135480,49813,69,1,0
135484,92640,1731,2,0
135484,167350,2367,4,0
135496,64926,774,1,0
135505,181860,57,1,0
135507,181860,57,1,0
4433,78111,489,1,0
4445,87714,177,1,0
135523,10986,3471,2,0
135523,6093,23161,5,0
4458,53255,2000,1,0
135551,78949,131150,4,0
135571,79973,5603826,18,1
135580,77701,187,1,0
135580,138065,2220,1,0
135580,36518,3228,3,0
4511,168113,1792,1,0
135583,128938,5283,1,0
4515,64008,1453,1,0
4516,55429,358,1,0
135599,73871,2400,3,0
4527,66720,1235,3,0
135603,109494,55000,1,0
135603,42578,1205000,2,0
4532,88927,974,1,0
135606,7216,488,2,0
4536,53338,593,2,0
4536,89863,1718,4,0
4550,87689,2773,1,0
4554,85829,1500,3,0
4572,118734,1071,1,0
4576,63669,28987,3,0
135671,713,273,1,0
4604,26149,9752,1,0
135687,65789,458,2,0
4619,111626,600,2,0
4619,89863,450,3,0
135694,143304,152,1,0
135701,107855,3870,9,0
4643,53450,449,1,0
4643,89863,109,1,0
135714,66699,2000,1,0
4649,53450,1600,2,0
4656,169301,980,2,0
4657,81235,1440,2,0
4665,26416,8584,5,0
135741,49813,69,1,0
135746,109831,8808,6,0
135746,87015,4272,6,0
4692,128392,3151,4,0
135765,117471,2480,2,0
135765,18360,1101,1,0
135774,182863,7846,1,0
135774,125102,1964,1,0
135845,47947,20000,1,0
135845,177132,1156,1,0
135845,16608,2712,1,0
135845,50680,760,1,0
135883,25006,5214,3,0
135886,115489,314656,1,0
4823,51775,918,1,0
135897,104822,86573,2,0
135897,16608,383108,15,0
135902,200170,300,1,0
4831,109951,406,1,0
135906,135897,50000,1,0
135911,119755,2856,1,0
135911,189924,1935,1,0
4851,124491,754,1,0
135928,123641,4704,1,0
135928,3673,1851,3,0
135928,27967,2606,1,0
135928,122009,42122,1,0
135928,34602,37300,1,0
135928,141777,90,9,0
135928,62262,2025,1,0
135928,41061,675,9,0
135928,16546,1808,2,0
135928,156397,185758,1,0
135936,65789,2529,3,0
135936,128501,10870,1,0
4865,89863,396,3,0
135938,124533,1243,1,0
135945,125102,11672,1,0
4878,93587,242,1,0
135961,49780,159,1,0
135961,143304,3155,1,0
4889,66873,309,3,0
4892,108355,15000,1,0
135973,7216,252,1,0
135979,22349,2117,2,0
136024,61159,2421,1,0
4975,59909,222,2,0
136052,81261,26,1,0
4985,78111,1200,3,0
4985,132151,21000,6,0
136059,104799,1950,2,0
4989,85846,1231,2,0
4989,53371,2054,3,0
4989,24764,1531,1,0
4994,93587,500,2,0
4994,100917,2332,6,0
4994,81261,4182,6,0
4999,53397,73066,3,0
136078,88035,2201,6,0
5015,89198,635,1,0
5024,85763,899,2,0
5027,89009,1800,3,0
5027,66873,2199,3,0
136097,59857,327,5,0
136118,119064,1590,1,0
136122,59909,100,1,0
5068,81248,1200,3,0
5073,124533,97,1,0
136150,167162,520,1,0
136152,60057,145,3,0
136156,81248,1688,3,0
136156,89209,2127,3,0
136160,108450,24222,3,0
136169,87038,726,4,0
136207,89863,16000,1,0
136217,115267,100,1,0
5159,110050,194,1,0
5162,126487,100000,1,0
136242,89209,122,2,0
5184,64750,378,1,0
136262,52354,834,1,0
136267,26149,39,1,0
136274,89863,9674,2,0
136297,112121,461,2,0
136304,85621,2023,2,0
5245,50440,687,1,0
136325,93587,1350,3,0
5260,111628,10000,1,0
136332,53450,343,3,0
136357,53450,28,1,0
136367,81261,435,1,0
5299,89863,781,1,0
5306,133321,479,2,0
136380,81261,807,1,0
5309,53450,2179,1,0
5309,135760,328,1,0
5309,78111,250,1,0
5309,111626,1562,3,0
5314,106065,8407,1,0
136393,59857,898,2,0
136401,47723,611,1,0
5331,108105,1087,1,0
5331,81261,449,1,0
5331,89863,7833,3,0
5331,88914,558,2,0
5331,85795,4880,2,0
5333,89863,528,3,0
5333,119008,595,1,0
5356,89863,609,1,0
5403,81186,1000,2,0
5406,163330,69,1,0
136480,61294,2635,1,0
5411,88917,300,1,0
5463,58063,936,3,0
136539,85763,399,3,0
136541,100917,126,2,0
136544,119790,297,1,0
136562,105281,469,1,0
5524,90821,860,1,0
5524,51775,3528,5,0
5524,118734,833,1,0
5524,124232,80000,2,0
5524,89863,298,3,0
5538,50440,3520,3,0
5538,107109,12308,13,0
5538,89126,10942,14,0
5538,85846,6746,6,0
5538,89779,3465,3,0
5538,108467,3856,5,0
5538,89863,11969,12,0
5538,111626,20938,26,0
5538,77890,3615,3,0
5538,90309,1881,3,0
5538,89009,7153,8,0
5538,78111,7593,7,0
5538,59909,5009,4,0
5538,51787,4200,3,0
5538,53420,2805,3,0
5538,85742,5967,5,0
5538,89209,880,1,0
5538,93587,2136,3,0
5538,99872,1500,6,0
5538,100917,12127,12,0
5538,53450,3700,4,0
5538,66873,2092,3,0
5538,105281,6557,10,0
5538,108105,5805,7,0
5538,135858,3218,3,0
5538,88914,3749,8,0
5538,135928,1956,3,0
5538,51775,4000,3,0
5538,105284,3258,3,0
5538,53371,350,1,0
5538,81235,11257,12,0
5538,24783,2700,3,0
5538,60057,4597,5,0
5538,89132,4300,7,0
5538,90821,1310,1,0
5538,119681,2761,3,0
5538,85784,6327,7,0
5538,47723,2797,4,0
5538,81248,2478,3,0
5538,85829,3300,3,0
5538,81261,5875,9,0
5541,78584,550,1,0
5553,90804,370,1,0
5567,60057,238,1,0
5571,51775,1055,3,0
5571,90762,300,1,0
136644,116510,24500,2,0
136648,126511,25988,1,0
5578,111626,459,1,0
136682,134223,150,1,0
136706,100917,1086,2,0
5636,59857,1574,2,0
5656,66760,207,1,0
5656,89006,21,2,0
136753,91926,5950,1,0
136770,109951,375,1,0
136779,63397,783147,6,0
136779,101764,63468,3,0
136781,89009,600,1,0
136792,111626,3221,3,0
5752,104799,2912,1,0
5758,89863,130,1,0
5762,104631,936,1,0
136838,89009,66,1,0
136839,53371,816,1,0
5774,51775,681,3,0
136860,52279,600,3,0
136873,110099,5123,1,0
136873,91774,367,1,0
136881,111088,6244,1,0
136885,107109,1131,4,0
136886,126287,3900,3,0
136893,88914,2397,3,0
136920,51775,800,1,0
5847,59857,675,1,0
136950,53450,250,3,0
136957,135585,198,1,0
136963,52083,540,3,0
5893,81261,1785,3,0
5895,85784,2230,1,0
136979,64136,474,1,0
5908,63814,673,1,0
5920,85795,1748,4,0
